         15773023 function calls (15684623 primitive calls) in 343.881 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.010    0.000    0.563    0.005 /Users/taivo/anaconda/lib/python3.5/re.py:278(_compile)
        1    0.001    0.001    0.553    0.553 /Users/taivo/anaconda/lib/python3.5/sre_compile.py:531(compile)
        1    0.002    0.002    0.548    0.548 /Users/taivo/anaconda/lib/python3.5/sre_parse.py:819(parse)
     26/1    0.002    0.000    0.545    0.545 /Users/taivo/anaconda/lib/python3.5/sre_parse.py:429(_parse_sub)
     67/1    0.536    0.008    0.544    0.544 /Users/taivo/anaconda/lib/python3.5/sre_parse.py:491(_parse)
      205    0.531    0.003    0.531    0.003 {built-in method io.open}
      321    0.006    0.000    0.512    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/constant_op.py:116(constant)
     2498    0.011    0.000    0.493    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:518(convert_to_tensor)
      200    0.342    0.002    0.475    0.002 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/patch_extraction_module.py:58(mirror_border)
      278    0.001    0.000    0.471    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/constant_op.py:176(_constant_tensor_conversion_function)
        1    0.000    0.000    0.444    0.444 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/model_taivo_test.py:447(model)
18253/8386    0.016    0.000    0.403    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:307(FieldSize)
    31172    0.041    0.000    0.395    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:790(ListFields)
        9    0.000    0.000    0.393    0.044 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/model_taivo_test.py:490(get_image_summary)
39061/25248    0.142    0.000    0.381    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:474(init)
        1    0.000    0.000    0.340    0.340 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1057(SerializeToString)
        1    0.000    0.000    0.336    0.336 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1071(SerializePartialToString)
   6489/1    0.012    0.000    0.336    0.336 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1077(InternalSerialize)
    132/1    0.003    0.000    0.336    0.336 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:753(EncodeRepeatedField)
       41    0.000    0.000    0.326    0.008 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:705(_ReductionDims)
       35    0.000    0.000    0.317    0.009 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:654(range)
       35    0.000    0.000    0.317    0.009 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_math_ops.py:1118(_range)
26319/14038    0.079    0.000    0.282    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1233(MergeFrom)
  1622708    0.271    0.000    0.279    0.000 {built-in method builtins.isinstance}
        9    0.000    0.000    0.274    0.030 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:843(reduce_max)
   101272    0.256    0.000    0.256    0.000 {method 'items' of 'dict' objects}
   480200    0.235    0.000    0.235    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
        1    0.004    0.004    0.226    0.226 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:1976(as_graph_def)
        1    0.000    0.000    0.225    0.225 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/optimizer.py:155(minimize)
        2    0.003    0.002    0.187    0.093 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gradients.py:307(gradients)
      971    0.009    0.000    0.170    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:818(EncodeField)
        1    0.000    0.000    0.143    0.143 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/saver.py:746(__init__)
        1    0.000    0.000    0.143    0.143 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/saver.py:444(build)
        1    0.001    0.001    0.132    0.132 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/saver.py:224(_AddRestoreOps)
    16184    0.037    0.000    0.122    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:429(MakeSubMessageDefault)
        1    0.000    0.000    0.118    0.118 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/optimizer.py:248(apply_gradients)
       43    0.000    0.000    0.114    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/variables.py:144(__init__)
       43    0.002    0.000    0.113    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/variables.py:211(_init_from_args)
        1    0.000    0.000    0.108    0.108 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/optimizer.py:194(compute_gradients)
   984882    0.099    0.000    0.099    0.000 {method 'append' of 'list' objects}
   480222    0.098    0.000    0.098    0.000 {built-in method builtins.hasattr}
